timestamp,ais_distance,ais_bearing,ais_width,ais_length,ai_bearing,imageIndex,y_max_rel,height,height_rel,width,width_rel,vessel_course,mode,match
2020-07-01T13:41:00+00:00,2678.7,347.1,26.0,162.0,344.74,4,47.315,51.0,4.722,203.0,2.115,314.2,open_sea,1
2020-07-01T13:43:00+00:00,2930.3,340.2,26.0,162.0,338.25,4,44.907,50.0,4.63,132.0,1.375,313.6,open_sea,1
2020-07-01T13:44:00+00:00,3108.5,336.4,26.0,162.0,335.47,4,44.444,46.0,4.259,116.0,1.208,314.1,open_sea,1
2020-07-01T20:59:00+00:00,4537.4,231.7,8.0,42.0,232.52,3,50.741,50.0,4.63,37.0,0.385,236.4,open_sea,1
2020-07-01T21:01:00+00:00,3487.5,227.2,8.0,42.0,227.18,2,59.352,54.0,5.0,26.0,0.271,235.7,open_sea,1
2020-07-01T22:16:00+00:00,8695.5,196.9,27.0,184.0,203.55,3,60.093,52.0,4.815,32.0,0.333,211.2,open_sea,1
2020-07-03T14:18:00+00:00,6370.8,231.8,32.0,228.0,232.56,5,60.463,150.0,13.889,90.0,0.938,182.8,open_sea,1
2020-06-30T14:59:00+00:00,3518.4,257.9,30.0,210.0,256.66,3,50.0,46.0,4.259,95.0,0.99,250.1,open_sea,1
2020-06-30T14:58:00+00:00,3587.3,257.6,30.0,210.0,259.2,3,53.1,11.0,5.5,12.0,0.7,250.1,open_sea,1
2020-06-30T14:57:00+00:00,3605.7,257.5,30.0,210.0,259.09,3,53.1,12.0,6.0,12.0,0.7,250.3,open_sea,1
2020-06-30T14:53:00+00:00,3806.4,256.3,30.0,210.0,257.88,3,52.6,12.0,6.0,12.0,0.7,250.2,open_sea,1
2020-06-30T14:52:00+00:00,3863.6,255.9,30.0,210.0,256.93,3,52.6,10.0,5.0,11.0,0.6,249.9,open_sea,1
2020-06-30T14:51:00+00:00,3863.6,255.9,30.0,210.0,256.6,3,53.1,11.0,5.5,-11.0,-0.6,249.9,open_sea,1
2020-06-30T14:50:00+00:00,3949.5,255.3,30.0,210.0,257.22,3,52.6,12.0,6.0,12.0,0.7,250.1,open_sea,1
2020-06-30T14:49:00+00:00,3959.9,255.2,30.0,210.0,256.89,3,53.1,12.0,6.0,12.0,0.7,250.3,open_sea,1
2020-06-30T09:08:00+00:00,1095.8,193.6,16.0,130.0,206.45,1,57.5,24.0,11.9,78.0,4.3,244.3,open_sea,1
2020-06-30T09:07:00+00:00,1158.7,198.6,16.0,130.0,207.87,1,56.5,24.0,11.9,73.0,4.1,243.7,open_sea,1
2020-06-30T09:06:00+00:00,1205.8,201.0,16.0,130.0,212.0,1,56.5,23.0,11.4,65.0,3.6,243.8,open_sea,1
2020-06-30T09:05:00+00:00,34.1,202.3,25.0,100.0,213.87,2,56.5,23.0,11.4,62.0,3.4,243.9,open_sea,1
2020-06-30T09:03:00+00:00,1394.0,210.3,16.0,130.0,218.43,2,55.6,23.0,11.5,50.0,2.8,244.0,open_sea,1
2020-06-30T09:02:00+00:00,1472.2,213.4,16.0,130.0,221.02,2,55.1,18.0,9.0,46.0,2.5,244.3,open_sea,1
2020-06-30T09:01:00+00:00,1495.6,214.6,16.0,130.0,222.23,2,54.6,17.0,8.5,40.0,2.3,244.3,open_sea,1
2020-06-30T09:00:00+00:00,1586.9,217.4,16.0,130.0,223.7,2,54.1,15.0,7.5,29.0,1.6,243.8,open_sea,1
2020-06-30T08:59:00+00:00,1634.3,218.3,16.0,130.0,224.75,2,54.1,15.0,7.5,30.0,1.7,243.6,open_sea,1
2020-06-30T08:58:00+00:00,1702.1,220.1,16.0,130.0,227.12,2,53.1,11.0,5.5,26.0,1.4,244.0,open_sea,1
2020-06-30T08:57:00+00:00,1757.1,221.4,16.0,130.0,227.78,2,53.1,12.0,6.0,25.0,1.4,244.1,open_sea,1
2020-06-30T08:56:00+00:00,1832.8,223.1,16.0,130.0,229.1,2,52.1,9.0,4.5,25.0,1.4,244.2,open_sea,1
2020-06-30T08:55:00+00:00,1880.1,223.6,16.0,130.0,229.87,2,53.6,12.0,6.0,23.0,1.2,244.0,open_sea,1
2020-06-30T08:54:00+00:00,1965.0,225.2,16.0,130.0,230.14,2,53.6,12.0,6.0,19.0,1.1,243.7,open_sea,1
2020-06-30T08:53:00+00:00,2004.4,226.0,16.0,130.0,231.74,2,52.6,12.0,6.0,15.0,0.8,244.3,open_sea,1
2020-06-30T08:52:00+00:00,2078.7,227.5,16.0,130.0,228.74,2,60.278,55.0,5.093,105.0,1.094,244.2,open_sea,1
2020-06-30T08:51:00+00:00,2127.5,228.1,16.0,130.0,232.72,2,53.1,11.0,5.5,19.0,1.0,243.9,open_sea,1
